"Settings","Ustawienia"
"E.g. */15 * * * *","np. */15 * * * *"
"Email Template","Szablon email"
"Path to CSV file","Ścieżka do pliku CSV"
"File in 'var' directory e.g. csv/example.csv","Plik w folderze 'var' np. csv/example.csv"
"E-mail quantity","Ilość e-maili"
"Enter amount of e-mails in one package","Podaj ilośc e-maili w jednej paczce"
"Column number with username","Numer kolumny z imieniem"
"Enter the number of column where is client name", "Podaj numer kolumny, w którym występuje imię klienta"
"Column number with e-mail adress","Numer kolumny z adresem e-mail"
"Enter the number of column where is client e-mail","Podaj numer kolumny, w którym występuje adres e-mail klienta"
"Sender name","Nazwa nadawcy"
"Sender e-mail","Adres e-mail nadawcy"
